Date,Open,High,Low,IndexClose,VixClose
2017-01-30,2286.01001,2286.01001,2268.040039,2280.899902,11.88
2017-01-31,2274.02002,2279.090088,2267.209961,2278.870117,11.99
2017-02-01,2285.590088,2289.139893,2272.439941,2279.550049,11.81
2017-02-02,2276.689941,2283.969971,2271.649902,2280.850098,11.93
2017-02-03,2288.540039,2298.310059,2287.879883,2297.419922,10.97
2017-02-06,2294.280029,2296.179932,2288.570068,2292.560059,11.37
2017-02-07,2295.870117,2299.399902,2290.159912,2293.080078,11.29
2017-02-08,2289.550049,2295.909912,2285.379883,2294.669922,11.45
2017-02-09,2296.699951,2311.080078,2296.610107,2307.870117,10.88
2017-02-10,2312.27002,2319.22998,2311.100098,2316.100098,10.85
2017-02-13,2321.719971,2331.580078,2321.419922,2328.25,11.07
2017-02-14,2326.120117,2337.580078,2322.169922,2337.580078,10.74
2017-02-15,2335.580078,2351.300049,2334.810059,2349.25,11.97
2017-02-16,2349.639893,2351.310059,2338.870117,2347.219971,11.76
2017-02-17,2343.01001,2351.159912,2339.580078,2351.159912,11.49
2017-02-21,2354.909912,2366.709961,2354.909912,2365.379883,11.57
2017-02-22,2361.110107,2365.129883,2358.340088,2362.820068,11.74
2017-02-23,2367.5,2368.26001,2355.090088,2363.810059,11.71
2017-02-24,2355.72998,2367.340088,2352.870117,2367.340088,11.47
2017-02-27,2365.22998,2371.540039,2361.870117,2369.75,12.09
2017-02-28,2366.080078,2367.790039,2358.959961,2363.639893,12.92
2017-03-01,2380.129883,2400.97998,2380.129883,2395.959961,12.54
2017-03-02,2394.75,2394.75,2380.169922,2381.919922,11.81
2017-03-03,2380.919922,2383.889893,2375.389893,2383.120117,10.96
2017-03-06,2375.22998,2378.800049,2367.97998,2375.310059,11.24
2017-03-07,2370.73999,2375.120117,2365.51001,2368.389893,11.45
2017-03-08,2369.810059,2373.090088,2361.01001,2362.97998,11.86
2017-03-09,2363.48999,2369.080078,2354.540039,2364.870117,12.3
2017-03-10,2372.52002,2376.860107,2363.040039,2372.600098,11.66
2017-03-13,2371.560059,2374.419922,2368.52002,2373.469971,11.35
2017-03-14,2368.550049,2368.550049,2358.179932,2365.449951,12.3
